cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
f,y,y,f,f,c,b,g,e,b,k,k,p,b,o,l,h,y,g
x,s,p,t,n,c,b,e,e,Unknown,s,s,e,w,t,e,w,c,w
b,s,g,f,n,w,b,w,e,Unknown,k,s,w,w,t,p,w,s,g
f,s,n,f,s,c,n,b,t,Unknown,k,k,p,w,o,e,w,v,d
k,y,n,f,f,c,n,b,t,Unknown,s,k,p,p,o,e,w,v,p
f,y,e,t,n,c,b,w,t,b,s,s,w,p,o,p,n,v,d
x,y,n,t,l,c,b,w,e,r,s,y,w,w,o,p,n,y,p
x,s,w,t,f,c,b,p,t,b,s,s,w,w,o,p,h,s,u
f,f,g,t,n,c,b,w,t,b,s,s,p,w,o,p,n,v,d
x,f,e,t,n,c,b,w,t,b,s,s,w,w,o,p,k,v,d
x,y,c,f,n,w,n,w,e,b,s,s,w,n,o,e,w,v,l
f,s,n,f,y,c,n,b,t,Unknown,s,k,w,p,o,e,w,v,d
b,f,w,f,n,w,b,p,e,Unknown,k,k,w,w,t,p,w,n,g
f,s,b,t,f,c,b,h,t,b,f,f,w,w,o,p,h,v,g
x,f,n,f,n,w,b,h,t,e,f,f,w,w,o,e,k,s,g
f,f,w,t,a,w,n,w,t,b,s,s,w,w,o,p,n,v,d
x,y,n,t,n,c,b,e,e,Unknown,s,s,w,w,t,e,w,c,w
f,f,e,t,n,c,b,n,t,b,s,s,g,w,o,p,k,v,d
f,f,g,f,f,c,b,p,e,b,k,k,n,b,o,l,h,v,g
k,y,n,f,s,c,n,b,t,Unknown,k,k,w,w,o,e,w,v,d
x,y,y,f,f,c,b,p,e,b,k,k,b,b,o,l,h,y,d
f,f,n,t,n,c,b,w,t,b,s,s,w,w,o,p,k,v,d
x,f,g,f,c,c,n,g,e,b,s,s,w,w,o,p,k,v,d
x,f,n,t,n,c,b,n,t,b,s,s,p,p,o,p,n,v,d
x,y,y,f,f,c,b,p,e,b,k,k,b,b,o,l,h,y,g
f,y,y,f,f,c,b,h,e,b,k,k,n,b,o,l,h,v,p
x,y,e,f,s,c,n,b,t,Unknown,k,s,p,w,o,e,w,v,d
x,y,e,t,n,c,b,w,t,b,s,s,g,p,o,p,n,y,d
k,s,e,f,y,c,n,b,t,Unknown,k,s,p,w,o,e,w,v,l
x,s,w,f,n,w,b,p,e,Unknown,s,s,w,w,t,p,w,n,g
x,y,e,f,f,c,n,b,t,Unknown,k,s,w,w,o,e,w,v,d
x,s,n,f,n,c,b,n,e,Unknown,s,s,o,o,o,p,o,v,l
x,f,g,f,f,c,b,h,e,b,k,k,n,b,o,l,h,y,g
x,s,g,f,n,w,b,p,e,Unknown,s,s,w,w,t,p,w,n,g
f,f,y,f,f,c,b,p,e,b,k,k,n,n,o,l,h,v,d
f,y,e,t,n,c,b,p,t,b,s,s,p,w,o,p,k,y,d
f,s,n,f,n,c,b,y,e,Unknown,s,s,o,o,o,p,o,v,l
f,y,y,f,f,c,b,h,e,b,k,k,n,b,o,l,h,y,p
f,s,g,t,f,c,b,w,t,b,s,f,w,w,o,p,h,v,u
x,y,y,f,f,c,b,p,e,b,k,k,n,b,o,l,h,v,g
x,y,y,f,f,c,b,g,e,b,k,k,n,b,o,l,h,v,g
f,y,e,t,n,c,b,w,t,b,s,s,g,g,o,p,n,y,d
f,f,w,t,a,w,n,n,t,b,s,s,w,w,o,p,u,v,d
k,s,n,f,n,c,b,y,e,Unknown,s,s,o,o,o,p,o,c,l
b,s,b,t,n,c,b,r,e,b,s,s,w,w,t,p,r,v,m
f,f,y,f,f,c,b,h,e,b,k,k,n,b,o,l,h,y,d
f,y,g,t,n,c,b,u,t,b,s,s,p,w,o,p,k,y,d
f,s,g,t,f,c,b,h,t,b,f,f,w,w,o,p,h,s,g
b,s,y,t,l,c,b,n,e,c,s,s,w,w,o,p,k,s,m
f,f,g,f,f,c,b,p,e,b,k,k,p,b,o,l,h,v,g
f,y,n,t,n,c,b,w,t,b,s,s,p,w,o,p,n,y,d
f,f,y,f,f,c,b,p,e,b,k,k,b,p,o,l,h,y,p
f,f,y,f,f,c,b,g,e,b,k,k,n,p,o,l,h,y,d
x,s,g,f,n,w,b,p,t,e,f,f,w,w,o,e,k,s,g
x,f,n,t,n,c,b,w,t,b,s,s,g,p,o,p,k,y,d
x,f,g,t,n,c,b,p,t,b,s,s,p,w,o,p,k,v,d
x,y,y,t,l,c,b,n,e,r,s,y,w,w,o,p,k,y,g
x,f,g,f,n,w,b,p,e,Unknown,k,k,w,w,t,p,w,s,g
x,f,g,t,n,c,b,n,t,b,s,s,g,w,o,p,n,y,d
k,s,n,f,n,c,b,n,e,Unknown,s,s,o,o,o,p,y,c,l
x,s,b,t,f,c,b,w,t,b,s,s,w,w,o,p,h,s,g
x,s,n,f,y,c,n,b,t,Unknown,s,k,p,p,o,e,w,v,p
f,s,g,f,n,w,b,n,t,e,s,s,w,w,o,e,k,a,g
x,f,g,t,n,c,b,n,t,b,s,s,p,w,o,p,n,v,d
x,f,e,t,n,c,b,u,t,b,s,s,p,w,o,p,n,v,d
x,f,y,t,a,w,n,p,t,b,s,s,w,w,o,p,n,v,d
b,y,w,t,a,c,b,n,e,c,s,s,w,w,o,p,k,n,m
f,y,g,f,f,c,b,p,e,b,k,k,p,b,o,l,h,v,d
x,y,g,t,n,c,b,p,t,b,s,s,p,g,o,p,n,v,d
b,s,y,t,a,c,b,n,e,c,s,s,w,w,o,p,k,n,g
x,y,g,t,n,c,b,n,t,b,s,s,p,w,o,p,n,y,d
k,s,e,f,y,c,n,b,t,Unknown,s,s,w,p,o,e,w,v,p
f,y,g,f,f,c,b,p,e,b,k,k,p,n,o,l,h,y,d
k,s,e,f,s,c,n,b,t,Unknown,k,k,p,p,o,e,w,v,d
f,s,e,f,f,c,n,b,t,Unknown,s,k,w,p,o,e,w,v,l
x,y,n,f,s,c,n,b,t,Unknown,k,s,p,p,o,e,w,v,d
x,y,g,f,f,c,b,h,e,b,k,k,b,n,o,l,h,y,d
x,y,n,t,l,c,b,w,e,r,s,y,w,w,o,p,k,y,g
x,s,n,t,n,c,b,w,e,Unknown,s,s,w,e,t,e,w,c,w
f,y,n,f,s,c,n,b,t,Unknown,s,k,w,p,o,e,w,v,d
f,f,n,f,n,w,b,h,t,e,f,s,w,w,o,e,n,a,g
